*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:40:32 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1800-Mar-20 00:00:00.0000 TDB
Stop  time      : A.D. 1800-Mar-22 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2378574.528472222, A.D. 1800-Mar-20 00:41:00.0000,  1.604991774033991E+07,  4.313457413492902E+07,  2.030897627563283E+06,
2378574.529166667, A.D. 1800-Mar-20 00:42:00.0000,  1.604659440420437E+07,  4.313570874384882E+07,  2.031296758097120E+06,
2378574.529861111, A.D. 1800-Mar-20 00:43:00.0000,  1.604327098965651E+07,  4.313684314198445E+07,  2.031695878704946E+06,
2378574.530555556, A.D. 1800-Mar-20 00:44:00.0000,  1.603994749671215E+07,  4.313797732932928E+07,  2.032094989384763E+06,
2378574.531250000, A.D. 1800-Mar-20 00:45:00.0000,  1.603662392538715E+07,  4.313911130587672E+07,  2.032494090134561E+06,
2378574.531944444, A.D. 1800-Mar-20 00:46:00.0000,  1.603330027569735E+07,  4.314024507162014E+07,  2.032893180952344E+06,
2378574.532638889, A.D. 1800-Mar-20 00:47:00.0000,  1.602997654765859E+07,  4.314137862655295E+07,  2.033292261836119E+06,
2378574.533333333, A.D. 1800-Mar-20 00:48:00.0000,  1.602665274128673E+07,  4.314251197066854E+07,  2.033691332783874E+06,
2378574.534027778, A.D. 1800-Mar-20 00:49:00.0000,  1.602332885659762E+07,  4.314364510396032E+07,  2.034090393793615E+06,
2378574.534722222, A.D. 1800-Mar-20 00:50:00.0000,  1.602000489360709E+07,  4.314477802642168E+07,  2.034489444863334E+06,
2378574.535416667, A.D. 1800-Mar-20 00:51:00.0000,  1.601668085233099E+07,  4.314591073804604E+07,  2.034888485991044E+06,
2378574.536111111, A.D. 1800-Mar-20 00:52:00.0000,  1.601335673278519E+07,  4.314704323882675E+07,  2.035287517174743E+06,
2378574.536805556, A.D. 1800-Mar-20 00:53:00.0000,  1.601003253498552E+07,  4.314817552875728E+07,  2.035686538412418E+06,
2378574.537500000, A.D. 1800-Mar-20 00:54:00.0000,  1.600670825894783E+07,  4.314930760783100E+07,  2.036085549702084E+06,
2378574.538194444, A.D. 1800-Mar-20 00:55:00.0000,  1.600338390468800E+07,  4.315043947604132E+07,  2.036484551041730E+06,
2378574.538888889, A.D. 1800-Mar-20 00:56:00.0000,  1.600005947222185E+07,  4.315157113338167E+07,  2.036883542429358E+06,
2378574.539583333, A.D. 1800-Mar-20 00:57:00.0000,  1.599673496156525E+07,  4.315270257984543E+07,  2.037282523862975E+06,
2378574.540277778, A.D. 1800-Mar-20 00:58:00.0000,  1.599341037273405E+07,  4.315383381542603E+07,  2.037681495340580E+06,
2378574.540972222, A.D. 1800-Mar-20 00:59:00.0000,  1.599008570574410E+07,  4.315496484011690E+07,  2.038080456860166E+06,
2378574.541666667, A.D. 1800-Mar-20 01:00:00.0000,  1.598676096061127E+07,  4.315609565391141E+07,  2.038479408419738E+06,
2378574.542361111, A.D. 1800-Mar-20 01:01:00.0000,  1.598343613735140E+07,  4.315722625680302E+07,  2.038878350017298E+06,
2378574.543055556, A.D. 1800-Mar-20 01:02:00.0000,  1.598011123598036E+07,  4.315835664878514E+07,  2.039277281650843E+06,
2378574.543750000, A.D. 1800-Mar-20 01:03:00.0000,  1.597678625651400E+07,  4.315948682985117E+07,  2.039676203318376E+06,
2378574.544444445, A.D. 1800-Mar-20 01:04:00.0000,  1.597346119896818E+07,  4.316061679999456E+07,  2.040075115017897E+06,
2378574.545138889, A.D. 1800-Mar-20 01:05:00.0000,  1.597013606335877E+07,  4.316174655920871E+07,  2.040474016747408E+06,
